Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Homologous Recombination -> Biodomain: DNA Repair, Signal Transduction, Epigenetic Regulation, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Nail Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Ascending Aorta Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Dorsal Aorta Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Aorta Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization
GO Term: Gobp Dorsal Aorta Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Skeletal Muscle Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Response To Topologically Incorrect Protein -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Autophagy, Molecular Transport and Homeostasis
GO Term: Gobp Alpha Linolenic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process
GO Term: Gobp Rna Guanine N7 Methylation -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation
GO Term: Gobp Cellular Response To Increased Oxygen Levels -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Response To Increased Oxygen Levels -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Interstrand Cross Link Repair -> Biodomain: DNA Repair, Epigenetic Regulation, Response to Stimulus, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Sodium Ion Export Across Plasma Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, RNA Metabolism
GO Term: Gobp Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, RNA Metabolism, System and Developmental Process
