Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Protein Metabolism and Trafficking
GO Term: Gobp Histone H2A K63 Linked Deubiquitination -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Response To Interleukin 2 -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Phosphorylation Of Rna Polymerase Ii C Terminal Domain -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Protein Localization To Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, RNA Metabolism
GO Term: Gobp Dna Conformation Change -> Biodomain: Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, Cell Cycle, Signal Transduction
GO Term: Gobp Resolution Of Recombination Intermediates -> Biodomain: DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Cell Cycle, Signal Transduction
GO Term: Gobp Ribonucleoprotein Complex Localization -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Electrical Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, RNA Metabolism, Response to Stimulus, Signal Transduction
GO Term: Gobp Cellular Response To Lithium Ion -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Cgmp -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Cellular Response To Steroid Hormone Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Cellular Response To Estradiol Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Cellular Response To Testosterone Stimulus -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism
GO Term: Gobp Regulation Of Histone H3 K14 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus
