Running with TEMP=0.0, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Signal Sequence Recognition -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Post Translational Protein Targeting To Endoplasmic Reticulum Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Protein Retention In Er Lumen -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gobp Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Prostanoid Metabolic Process -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Neurotransmission and Synaptic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Cholesterol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Copper Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process
