Running with TEMP=0.0, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gobp Formation Of Anatomical Boundary -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Amyloid Beta Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Negative Regulation Of Defense Response To Virus -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Phagocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Gliogenesis and Glial Differentiation, Immune System and Inflammation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Protein Stabilization -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp White Fat Cell Differentiation -> Biodomain: System and Developmental Process, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Leukocyte Tethering Or Rolling -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Microtubule Severing -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Chaperone Cofactor Dependent Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Hepoxilin Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Actin Nucleation -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Signal Transduction
