Running with TEMP=0.0, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Histone H3 K27 Trimethylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Learned Vocalization Behavior Or Vocal Learning -> Biodomain: Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Macromolecule Deacylation -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Transcription and Translation Machinery, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Inorganic Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Mrna Cleavage Involved In Mrna Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Mrna Alternative Polyadenylation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Animal Organ Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Cold Induced Thermogenesis -> Biodomain: Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Mucociliary Clearance -> Biodomain: System and Developmental Process, Response to Stimulus, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Dendrite Arborization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Neurotransmission and Synaptic Regulation, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Facultative Heterochromatin Formation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Regulation Of Neuroinflammatory Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Cell Cell Junction Disassembly -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Negative Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Ether Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Regulation Of Endothelial Tube Morphogenesis -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Organic Hydroxy Compound Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Organic Hydroxy Compound Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction
GO Term: Gobp Regulation Of Smoothened Signaling Pathway Involved In Dorsal Ventral Neural Tube Patterning -> Biodomain: System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Nucleoside Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Signal Transduction
GO Term: Gobp Response To Ketone -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Metabolic Process, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Atpase Coupled Calcium Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Hematopoietic Stem Cell Proliferation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Immune System and Inflammation, Response to Stimulus
