Running with TEMP=0.0, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 500 to 549
GO Term: Gobp Negative Regulation Of Chromatin Organization -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Chromatin Organization -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Macrophage Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Coa Transferase Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Lipid Localization -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Lipid Localization -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Neutrophil Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Chemokine -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Response to Stimulus, Apoptosis
GO Term: Gobp Negative Regulation Of Dendrite Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Chemokine C X C Motif Ligand 2 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Lymphocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of T Cell Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Camp Dependent Protein Kinase Activity -> Biodomain: Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Negative Regulation Of Nuclear Transcribed Mrna Catabolic Process Nonsense Mediated Decay -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Receptor Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation, Structural Stabilization
GO Term: Gobp Negative Regulation Of Myoblast Proliferation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Cell Cycle, Response to Stimulus
GO Term: Gobp Regulation Of Nucleotide Excision Repair -> Biodomain: DNA Repair, Signal Transduction, Epigenetic Regulation, Response to Stimulus, Cell Cycle
GO Term: Gobp Regulation Of Heart Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Corticosteroid Hormone Secretion -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Immune System and Inflammation
