Running with TEMP=0.0, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 650 to 699
GO Term: Gomf Phosphatidylinositol 3 4 5 Trisphosphate 3 Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf C Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Oxidoreductase Activity Acting On Paired Donors With Incorporation Or Reduction Of Molecular Oxygen Another Compound As One Donor And Incorporation Of One Atom Of Oxygen -> Biodomain: Mitochondrial Function and Metabolism, Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Transferase Activity Transferring One Carbon Groups -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Transcription and Translation Machinery, Signal Transduction
GO Term: Gomf Transferase Activity Transferring Nitrogenous Groups -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Transferase Activity Transferring Phosphorus Containing Groups -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, RNA Metabolism, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gomf Sulfurtransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, RNA Metabolism, Mitochondrial Function and Metabolism
GO Term: Gomf Hydrolase Activity Acting On Ester Bonds -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf Endonuclease Activity Active With Either Ribo Or Deoxyribonucleic Acids And Producing 5 Phosphomonoesters -> Biodomain: DNA Repair, RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Aryl Hydrocarbon Receptor Binding -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Immune System and Inflammation, Epigenetic Regulation
GO Term: Gomf Histone Lysine N Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Structural Stabilization
GO Term: Gomf Alcohol Dehydrogenase Nad P Plus Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Deacetylase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gomf Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Sodium Channel Inhibitor Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Structural Constituent Of Myelin Sheath -> Biodomain: Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gomf Cytokine Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gomf C X3 C Chemokine Binding -> Biodomain: Immune System and Inflammation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Mhc Protein Complex Binding -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Mhc Class Ii Protein Complex Binding -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Structural Constituent Of Chromatin -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Gomf Signaling Receptor Regulator Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gomf Troponin I Binding -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Mitogen Activated Protein Kinase Kinase Binding -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf Ccr2 Chemokine Receptor Binding -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gomf Ccr3 Chemokine Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Insulin Like Growth Factor I Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Cell Cycle, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Acrosin Binding -> Biodomain: Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gomf Mhc Class Ii Receptor Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf Protein Lysine Deacetylase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Mitochondrial Function and Metabolism, Transcription and Translation Machinery
GO Term: Gomf Receptor Serine Threonine Kinase Binding -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Phosphatidylinositol 3 4 5 Trisphosphate 5 Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Phosphatidylinositol Phosphate 5 Phosphatase Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Dna Demethylase Activity -> Biodomain: Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gomf Mrna 3 Utr Au Rich Region Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf Pre Mrna Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gomf Neuregulin Binding -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gomf Co Receptor Binding -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Histone Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Chemokine Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Histone Binding -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, DNA Repair, Molecular Transport and Homeostasis
GO Term: Gomf Hormone Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Inositol 1 3 4 5 Tetrakisphosphate Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Molybdopterin Cofactor Binding -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
