Running with TEMP=0.0, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 700 to 727
GO Term: Gomf Histone H4K16 Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Histone H3K27 Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gomf Acylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Ccr Chemokine Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Ubiquinone Binding -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gomf Low Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gomf Lipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf Phosphatidylcholine Sterol O Acyltransferase Activator Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Peptidase Regulator Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Endopeptidase Regulator Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Lipoprotein Particle Receptor Binding -> Biodomain: Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gomf Lysine Acetylated Histone Binding -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Transmembrane Receptor Protein Serine Threonine Kinase Binding -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Pre Mrna Intronic Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gomf Cyclin Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Signal Transduction, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gomf Structural Molecule Activity Conferring Elasticity -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Collagen Binding Involved In Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gomf Structural Constituent Of Postsynaptic Actin Cytoskeleton -> Biodomain: Structural Stabilization, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation
GO Term: Gomf Rna Polymerase Ii C Terminal Domain Binding -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gomf Lncrna Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Modification Dependent Protein Binding -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Methylation Dependent Protein Binding -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gomf Transcription Regulator Activity -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Protein Sequestering Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Immune Receptor Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gomf Histone Reader Activity -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process
GO Term: Gomf Nadplus Protein Lysine Adp Ribosyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gomf Cupric Ion Binding -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_15.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
