Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Nitric Oxide Synthase Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery
GO Term: Gobp Medium Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Sulfation -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Transmission Of Nerve Impulse -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Muscle Cell Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Cell Cycle
GO Term: Gobp Striated Muscle Cell Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Cardiac Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Asymmetric Neuroblast Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, System and Developmental Process, Neurogenesis, Structural Stabilization
GO Term: Gobp Iron Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Response To Hyperoxia -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Pericardium Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Elastin Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Face Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Endochondral Bone Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Cartilage Development Involved In Endochondral Bone Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Pathway Restricted Smad Protein Phosphorylation -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Pathway Restricted Smad Protein Phosphorylation -> Biodomain: Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Lung Associated Mesenchyme Development -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Cartilage Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Parental Behavior -> Biodomain: System and Developmental Process, Response to Stimulus, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Immune System and Inflammation
GO Term: Gobp Smoothened Signaling Pathway Involved In Dorsal Ventral Neural Tube Patterning -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Heart Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of Wound Healing -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction
GO Term: Gobp Negative Regulation Of Wound Healing -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Histone H3 K27 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Chondrocyte Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Structural Stabilization
GO Term: Gobp Bmp Signaling Pathway Involved In Heart Development -> Biodomain: Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Canonical Wnt Signaling Pathway Involved In Cardiac Muscle Cell Fate Commitment -> Biodomain: Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Behavioral Response To Chemical Pain -> Biodomain: Response to Stimulus, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Signal Transduction, System and Developmental Process
GO Term: Gobp Establishment Of Skin Barrier -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Immune System and Inflammation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Pharyngeal Arch Artery Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Histone H3 K9 Modification -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, DNA Repair
GO Term: Gobp Leukotriene Signaling Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, Lipid Metabolism
GO Term: Gobp Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Cell Adhesion and Interaction, Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Interleukin 6 Mediated Signaling Pathway -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Interleukin 27 Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Synaptonemal Complex Organization -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Extracellular Matrix Constituent Secretion -> Biodomain: Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Response to Stimulus
GO Term: Gobp Erk1 And Erk2 Cascade -> Biodomain: Signal Transduction, Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Cycle, Molecular Transport and Homeostasis
GO Term: Gobp Nucleotide Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Cadmium Ion Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Cell Cell Adhesion Involved In Gastrulation -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Mast Cell Proliferation -> Biodomain: Immune System and Inflammation, Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Histone H3 K27 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Heterochromatin Organization -> Biodomain: Epigenetic Regulation, Structural Stabilization, Transcription and Translation Machinery, DNA Repair, System and Developmental Process
GO Term: Gobp Histone H3 Deacetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
