Running with TEMP=0.0, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 400 to 449
GO Term: Gobp Histone H4 Deacetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Rna Surveillance -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Positive Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Response To Parathyroid Hormone -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Response To Cadmium Ion -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Cellular Response To Copper Ion -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Iron Ion -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Cellular Response To Parathyroid Hormone Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Cellular Response To Corticosteroid Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Immune System and Inflammation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cellular Response To Glucocorticoid Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Lipid Metabolism, Immune System and Inflammation
GO Term: Gobp Cellular Response To Fatty Acid -> Biodomain: Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism
GO Term: Gobp Cellular Response To Purine Containing Compound -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Transcription and Translation Machinery, Cell Cycle
GO Term: Gobp Succinate Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Cellular Hypotonic Response -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Cellular Response To Fluid Shear Stress -> Biodomain: Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Genomic Imprinting -> Biodomain: Epigenetic Regulation, System and Developmental Process, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Structural Stabilization
GO Term: Gobp Response To Dexamethasone -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Zinc Ion Import Across Plasma Membrane -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Transforming Growth Factor Beta Production -> Biodomain: Signal Transduction, Immune System and Inflammation, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Granulocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Chemokine C C Motif Ligand 5 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Mononuclear Cell Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Basement Membrane Organization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Protein Lipid Complex Subunit Organization -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process
GO Term: Gobp Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, System and Developmental Process, Immune System and Inflammation, Cell Cycle, Response to Stimulus
GO Term: Gobp Distal Convoluted Tubule Development -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Mesenchymal Cell Proliferation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Sulfur Compound Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Purine Containing Compound Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Chemokine C X C Motif Ligand 2 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Lymphocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp T Cell Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Histone H3 K4 Trimethylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Cell Cycle, DNA Repair
GO Term: Gobp Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Immune System and Inflammation, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Signal Transduction, Response to Stimulus, Epigenetic Regulation, Cell Cycle, System and Developmental Process
GO Term: Gobp Regulation Of Osteoclast Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Dna Methylation Dependent Heterochromatin Formation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, DNA Repair, Cell Cycle
GO Term: Gobp Regulation Of Protein Deacetylation -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Protein Deacetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Regulation Of Heart Induction -> Biodomain: System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Epiboly -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Sphingolipid Mediated Signaling Pathway -> Biodomain: Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Alcohol -> Biodomain: Response to Stimulus, Neurotransmission and Synaptic Regulation, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Interleukin 17 Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Stress Response To Metal Ion -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Necroptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Myeloid Leukocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Granulocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_9.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
