Running with TEMP=0.0, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 500 to 549
GO Term: Gobp Negative Regulation Of Collagen Metabolic Process -> Biodomain: Response to Stimulus, Structural Stabilization, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Negative Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Lipid Metabolism
GO Term: Gobp Protein Kinase A Signaling -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Regulation Of Plasminogen Activation -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Regulation Of Macrophage Chemotaxis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Macrophage Chemotaxis -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Sodium Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Cell Morphogenesis Involved In Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Regulation Of Cell Substrate Adhesion -> Biodomain: Cell Adhesion and Interaction, Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Cell Substrate Adhesion -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Regulation Of Hormone Levels -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp T Cell Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of T Cell Chemotaxis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Glucose Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Positive Regulation Of Keratinocyte Proliferation -> Biodomain: System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Pathway Restricted Smad Protein Phosphorylation -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Lipid Localization -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Sequestering Of Triglyceride -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Autophagy, Response to Stimulus
GO Term: Gobp Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Macrophage Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Cell Death -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Immune System and Inflammation, Signal Transduction
GO Term: Gobp Positive Regulation Of Cell Death -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Transcription By Competitive Promoter Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Phosphate Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Regulation Of Neuron Projection Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Positive Regulation Of Neuron Projection Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Negative Regulation Of Lipoprotein Particle Clearance -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Lipid Metabolism, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Low Density Lipoprotein Particle Clearance -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking
