Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 550 to 599
GO Term: Gobp Skeletal Muscle Satellite Cell Maintenance Involved In Skeletal Muscle Regeneration -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Response To Muscle Activity -> Biodomain: Response to Stimulus, Structural Stabilization, Mitochondrial Function and Metabolism, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Striated Muscle Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Striated Muscle Atrophy -> Biodomain: System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism
GO Term: Gobp Myotube Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Smooth Muscle Cell Migration -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Positive Regulation Of Smooth Muscle Cell Migration -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Smooth Muscle Cell Migration -> Biodomain: Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Lung Blood Pressure -> Biodomain: System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gobp Heparan Sulfate Proteoglycan Biosynthetic Process Enzymatic Modification -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Dna Integration -> Biodomain: DNA Repair, Response to Stimulus, Transcription and Translation Machinery, Epigenetic Regulation, Cell Cycle
GO Term: Gobp Gas Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Carbon Dioxide Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Lipid Metabolism, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Copper Ion Import -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Magnesium Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Quaternary Ammonium Group Transport -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Monocarboxylic Acid Transport -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Bile Acid And Bile Salt Transport -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Glycerol Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp L Alanine Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp L Cystine Transport -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Tryptophan Transport -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Polyamine Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Nucleobase Transport -> Biodomain: Molecular Transport and Homeostasis, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Adenine Transport -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Nucleoside Transport -> Biodomain: Molecular Transport and Homeostasis, RNA Metabolism, DNA Repair, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Choline Transport -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Lipid Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Heme Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Fatty Acid Transport -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism
GO Term: Gobp Organic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Organic Acid Catabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Rrna Catabolic Process -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Snrna Catabolic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Terpenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Snrna Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Synaptic Vesicle Uncoating -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Lysosomal Microautophagy -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Negative Regulation Of Macroautophagy -> Biodomain: Autophagy, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Dephosphorylation -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Calcium Independent Cell Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process
GO Term: Gobp Dendrite Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Protein Import Into Peroxisome Matrix -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Histone Modification -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Histone Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, DNA Repair, System and Developmental Process
GO Term: Gobp Histone Deacetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization, Signal Transduction, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
