Running with TEMP=0.0, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 850 to 899
GO Term: Gobp Circadian Regulation Of Gene Expression -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Inositol Trisphosphate Metabolic Process -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Inositol Trisphosphate Biosynthetic Process -> Biodomain: Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Collagen Metabolic Process -> Biodomain: Structural Stabilization, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Ribonucleoprotein Complex Disassembly -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Muscle Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Mast Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Autophagy, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Mast Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Tetrapyrrole Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Cycle, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Immune System and Inflammation, Apoptosis, Signal Transduction, Response to Stimulus, Cell Cycle
GO Term: Gobp Positive Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Peptidyl Serine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Immune System and Inflammation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Response To Vitamin A -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Response To Vitamin E -> Biodomain: Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Meiotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Response To Vitamin -> Biodomain: Response to Stimulus, Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Actin Myosin Filament Sliding -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Cell Proliferation In Midbrain -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Response To Vitamin D -> Biodomain: Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Response To L Ascorbic Acid -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Mammary Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Membrane Protein Proteolysis -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Apoptosis, Signal Transduction
GO Term: Gobp Positive Regulation Of Integrin Activation -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Cell Adhesion Mediated By Integrin -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Cell Cell Adhesion Mediated By Integrin -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Cell Cell Adhesion Mediated By Integrin -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Cell Cell Adhesion Mediated By Integrin -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Osteoblast Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Osteoblast Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Negative Regulation Of Osteoblast Proliferation -> Biodomain: Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process, Structural Stabilization
GO Term: Gobp Positive Regulation Of Osteoblast Proliferation -> Biodomain: System and Developmental Process, Signal Transduction, Cell Cycle, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Phospholipid Efflux -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Nad P H Oxidase Activity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Nad P H Oxidase Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp P Body Assembly -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Response To Lipid -> Biodomain: Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Stress Granule Assembly -> Biodomain: Response to Stimulus, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Tissue Remodeling -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Negative Regulation Of Tissue Remodeling -> Biodomain: System and Developmental Process, Signal Transduction, Immune System and Inflammation, Response to Stimulus, Structural Stabilization
