Running with TEMP=0.0, sub_array_index=20
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 20: rows 950 to 999
GO Term: Gobp Regulation Of Tube Size -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Ectopic Germ Cell Programmed Cell Death -> Biodomain: Apoptosis, System and Developmental Process, Response to Stimulus, Epigenetic Regulation, Cell Cycle
GO Term: Gobp Tube Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Organ Growth -> Biodomain: System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Endocrine System Development -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Immune System and Inflammation, Cell Cycle
GO Term: Gobp Segmentation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Tube Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Wound Healing Spreading Of Epidermal Cells -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Structural Stabilization, Signal Transduction
GO Term: Gobp Regulation Of Hippo Signaling -> Biodomain: Signal Transduction, Cell Cycle, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Hippo Signaling -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Hippo Signaling -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Protein Localization To Microtubule -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Gobp Roundabout Signaling Pathway -> Biodomain: Signal Transduction, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Copper Ion Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Phosphate Ion Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Dipeptide Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Interferon Alpha -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Interferon Alpha -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Determination Of Pancreatic Left Right Asymmetry -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Vascular Wound Healing -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Immune System and Inflammation
GO Term: Gobp Snare Complex Assembly -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process
GO Term: Gobp Metanephric Part Of Ureteric Bud Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Myosin Light Chain Phosphatase Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Monoubiquitinated Protein Deubiquitination -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Monoubiquitinated Histone Deubiquitination -> Biodomain: Epigenetic Regulation, Structural Stabilization, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Proline Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Snare Complex Assembly -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Kidney Size -> Biodomain: System and Developmental Process, Cell Cycle, Apoptosis, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Stress Granule Disassembly -> Biodomain: Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Maintenance Of Blood Brain Barrier -> Biodomain: Molecular Transport and Homeostasis, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Trif Dependent Toll Like Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Monocyte Extravasation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Intraciliary Anterograde Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Hepatic Stellate Cell Activation -> Biodomain: Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Cd4 Positive Alpha Beta T Cell Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp T Helper 1 Cell Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Platelet Derived Growth Factor Receptor Alpha Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Regulation Of Urine Volume -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
