Running with TEMP=0.0, sub_array_index=23
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 23: rows 1100 to 1149
GO Term: Gobp Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Golgi To Plasma Membrane Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Macrophage Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Negative Regulation Of Macrophage Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Macrophage Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Cellular Metabolic Compound Salvage -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Purine Containing Compound Salvage -> Biodomain: RNA Metabolism, DNA Repair, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Regulation Of Vascular Permeability -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Vascular Permeability -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Nucleoside Salvage -> Biodomain: RNA Metabolism, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Leukocyte Degranulation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Protein Transport To Vacuole Involved In Ubiquitin Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Autophagy, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Response To Dsrna -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, RNA Metabolism
GO Term: Gobp Positive T Cell Selection -> Biodomain: Immune System and Inflammation, Apoptosis, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Cd8 Positive Alpha Beta T Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Skeletal Muscle Tissue Regeneration -> Biodomain: System and Developmental Process, Cell Cycle, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Positive Regulation Of Mapk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Cell Cycle
GO Term: Gobp Response To Peptide Hormone -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Pentose Phosphate Shunt -> Biodomain: Metabolism, Carbohydrate Metabolism, Biosynthesis and Cofactor Metabolism, Regulation of Biological Process, Cellular Process
GO Term: Gobp Regulation Of Cellular Carbohydrate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Pigmentation -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Regulation Of Rna Splicing -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Kinase B Signaling -> Biodomain: Signal Transduction, Apoptosis, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Dna Damage Response Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Signal Transduction, Cell Cycle, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Endothelial Cell Migration -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process, Structural Stabilization
GO Term: Gobp Protein Acylation -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Regulation Of Lipid Kinase Activity -> Biodomain: Signal Transduction, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
