Running with TEMP=0.0, sub_array_index=24
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 24: rows 1150 to 1199
GO Term: Gobp Histone H3 Acetylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Histone H3 K9 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Histone H4 K5 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Histone H4 K12 Acetylation -> Biodomain: Epigenetic Regulation, Chromatin Organization, Transcription and Translation Machinery, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Histone H4 K16 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
GO Term: Gobp Histone H4 R3 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Cell Cycle, System and Developmental Process, Signal Transduction
GO Term: Gobp Regulation Of Endocrine Process -> Biodomain: Signal Transduction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Excretion -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Histone H3 K14 Acetylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Structural Stabilization, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Small Molecule Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Macropinocytosis -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Protein Localization To Cytoskeleton -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Glucose Import In Response To Insulin Stimulus -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Entry Into Host -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Translocation Of Molecules Into Host -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Immune System and Inflammation
GO Term: Gobp Motile Cilium Assembly -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp 2Fe 2S Cluster Assembly -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Multi Multicellular Organism Process -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Response To Human Chorionic Gonadotropin -> Biodomain: Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Late Nucleophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Estrous Cycle -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Plasma Membrane Raft Organization -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Protein Localization To Plasma Membrane Raft -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Protein Metabolism and Trafficking
GO Term: Gobp Double Strand Break Repair Via Single Strand Annealing -> Biodomain: DNA Repair, Epigenetic Regulation, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Protein Insertion Into Mitochondrial Inner Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Protein Insertion Into Er Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gobp Protein Insertion Into Er Membrane By Stop Transfer Membrane Anchor Sequence -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Constitutive Secretory Pathway -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp T Cell Selection -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp T Helper 1 Cell Differentiation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Cycle
GO Term: Gobp Intermediate Filament Based Process -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Intermediate Filament Organization -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Intermediate Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Integrin Biosynthetic Process -> Biodomain: Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Integrin Biosynthetic Process -> Biodomain: Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Azole Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Development Of Secondary Sexual Characteristics -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Development Of Primary Sexual Characteristics -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Neuronal Ion Channel Clustering -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Clustering Of Voltage Gated Sodium Channels -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Cell Fate Commitment -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Apical Protein Localization -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Sarcomere Organization -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cell Cell Junction Organization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp External Encapsulating Structure Organization -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Fat Cell Differentiation -> Biodomain: System and Developmental Process, Lipid Metabolism, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Myoblast Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Response To Ethanol -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Photoreceptor Cell Maintenance -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Structural Stabilization
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_24.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
