Running with TEMP=0.0, sub_array_index=28
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 28: rows 1350 to 1399
GO Term: Gobp Camera Type Eye Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Embryonic Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Myoblast Fate Commitment -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Cycle, Protein Metabolism and Trafficking
GO Term: Gobp Muscle Organ Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Animal Organ Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Anatomical Structure Formation Involved In Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Smooth Muscle Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Positive Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Negative Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, System and Developmental Process, Structural Stabilization
GO Term: Gobp Neuron Fate Specification -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Collateral Sprouting In Absence Of Injury -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Collateral Sprouting -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Embryonic Cranial Skeleton Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Embryonic Viscerocranium Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Embryonic Skeletal System Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Skeletal System Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Cell Cycle, Signal Transduction
GO Term: Gobp Embryonic Skeletal System Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Oligodendrocyte Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Oligodendrocyte Differentiation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Oligodendrocyte Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Tissue Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Gland Development -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Appendage Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Smooth Muscle Tissue Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
