Running with TEMP=0.0, sub_array_index=29
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 29: rows 1400 to 1449
GO Term: Gobp Regulation Of Mrna Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Defense Response To Virus By Host -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Protein Secretion -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Protein Secretion -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Inflammatory Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Inflammatory Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Regulation Of Peptidyl Tyrosine Phosphorylation -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Peptidyl Tyrosine Phosphorylation -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Phagocytosis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Autophagy
GO Term: Gobp Regulation Of Dendrite Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Structural Stabilization, Neurotransmission and Synaptic Regulation
GO Term: Gobp Rna Destabilization -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Monoatomic Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Coagulation -> Biodomain: Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Coagulation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Defense Response To Gram Negative Bacterium -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Defense Response To Gram Positive Bacterium -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Calcium Mediated Signaling -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Negative Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Regulation Of Body Fluid Levels -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Endocrine Process -> Biodomain: Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Leukocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Diapedesis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Detection Of Mechanical Stimulus Involved In Sensory Perception Of Sound -> Biodomain: Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process, Structural Stabilization
GO Term: Gobp Positive Regulation Of Chemotaxis -> Biodomain: Response to Stimulus, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Pigment Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Sensory Perception Of Mechanical Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Equilibrioception -> Biodomain: Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Detection Of Temperature Stimulus Involved In Thermoception -> Biodomain: Response to Stimulus, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Nitric Oxide Synthase Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Rrna Transport -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Secretion -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Negative Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking
