Running with TEMP=0.0, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Neutrophil Homeostasis -> Biodomain: Immune System and Inflammation, Cell Cycle, Apoptosis, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Cycle, System and Developmental Process, Signal Transduction
GO Term: Gobp Serotonin Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Histamine Secretion -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
GO Term: Gobp Mesonephros Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Trophectodermal Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Neural Plate Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Epigenetic Regulation, Structural Stabilization
GO Term: Gobp Complement Activation Lectin Pathway -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Response To Yeast -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Endothelial Cell Morphogenesis -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Tissue Homeostasis -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Cell Cycle, Apoptosis, Response to Stimulus
GO Term: Gobp Cell Killing -> Biodomain: Apoptosis, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Leukocyte Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Signal Transduction, Apoptosis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp T Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Apoptosis, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of T Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Signal Transduction, Apoptosis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Receptor Recycling -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Endothelial Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Endothelial Cell Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Endothelial Cell Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Vasculature Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Lymph Vessel Development -> Biodomain: System and Developmental Process, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
