Running with TEMP=0.0, sub_array_index=31
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 31: rows 1500 to 1549
GO Term: Gobp Sterol Homeostasis -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Response To Hyperoxia -> Biodomain: Response to Stimulus, Immune System and Inflammation, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Digestive System Development -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Response to Stimulus
GO Term: Gobp L Proline Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process, Response to Stimulus
GO Term: Gobp Parathyroid Gland Development -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Signal Transduction, Structural Stabilization
GO Term: Gobp Radial Glial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Roof Of Mouth Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Soft Palate Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Convergent Extension Involved In Axis Elongation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Pharyngeal System Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Pericardium Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Retina Morphogenesis In Camera Type Eye -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Angiogenesis Involved In Wound Healing -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Mammary Gland Involution -> Biodomain: Apoptosis, Autophagy, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Embryonic Retina Morphogenesis In Camera Type Eye -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Vagina Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Inner Ear Receptor Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Thyroid Stimulating Hormone Secreting Cell Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Maternal Process Involved In Female Pregnancy -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Maternal Process Involved In Parturition -> Biodomain: Signal Transduction, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Positive Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Nuclear Transcribed Mrna Poly A Tail Shortening -> Biodomain: RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Camera Type Eye Photoreceptor Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Retinal Rod Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Mesenchymal To Epithelial Transition -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Embryonic Skeletal Joint Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Epithelial Cilium Movement Involved In Determination Of Left Right Asymmetry -> Biodomain: Structural Stabilization, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Long Term Synaptic Depression -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Elastin Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Face Development -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Face Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Cell Chemotaxis -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Immune System and Inflammation, Signal Transduction, System and Developmental Process
GO Term: Gobp Bone Trabecula Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Bone Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Bone Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Endochondral Bone Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Cartilage Development Involved In Endochondral Bone Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Cell Adhesion Molecule Production -> Biodomain: Cell Adhesion and Interaction, Regulation of Biological Processes, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Pathway Restricted Smad Protein Phosphorylation -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Pathway Restricted Smad Protein Phosphorylation -> Biodomain: Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking
GO Term: Gobp Smad Protein Signal Transduction -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Cardiac Septum Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Aorta Smooth Muscle Tissue Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Structural Stabilization, Signal Transduction
GO Term: Gobp Heart Growth -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Cycle, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Positive Regulation Of Heart Growth -> Biodomain: System and Developmental Process, Signal Transduction, Cell Cycle, Structural Stabilization, Response to Stimulus
GO Term: Gobp Lung Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Epithelium Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_31.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
