Running with TEMP=0.0, sub_array_index=36
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 36: rows 1750 to 1799
GO Term: Gobp Cellular Response To Prostaglandin E Stimulus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Response To Corticosteroid Stimulus -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Cellular Response To Glucocorticoid Stimulus -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Cellular Response To Fatty Acid -> Biodomain: Lipid Metabolism, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Response To Organic Cyclic Compound -> Biodomain: Response to Stimulus, Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cellular Response To Purine Containing Compound -> Biodomain: Signal Transduction, Response to Stimulus, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
GO Term: Gobp Hematopoietic Stem Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Cellular Response To Hydroperoxide -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Cell Cycle
GO Term: Gobp Cellular Response To Hyperoxia -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cellular Response To Ph -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Response To Osmotic Stress -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Cellular Hypotonic Response -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Cellular Response To Uv A -> Biodomain: Response to Stimulus, DNA Repair, Signal Transduction, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Cellular Response To External Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cellular Response To Fluid Shear Stress -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Response To Heparin -> Biodomain: Response to Stimulus, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Genomic Imprinting -> Biodomain: Epigenetic Regulation, System and Developmental Process, Transcription and Translation Machinery, DNA Repair, Response to Stimulus
GO Term: Gobp Semaphorin Plexin Signaling Pathway -> Biodomain: Signal Transduction, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Dopaminergic Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Diphosphoinositol Polyphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Response To Dexamethasone -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Dexamethasone Stimulus -> Biodomain: Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Zinc Ion Import Across Plasma Membrane -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Structural Stabilization, System and Developmental Process
GO Term: Gobp Otic Vesicle Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Otic Vesicle Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
