Running with TEMP=0.0, sub_array_index=39
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 39: rows 1900 to 1949
GO Term: Gobp Membrane Fission -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Establishment Of Planar Polarity -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Kidney Development -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Kidney Development -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Structural Stabilization, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Muscle System Process -> Biodomain: System and Developmental Process, Structural Stabilization, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Fibroblast Growth Factor Production -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Calcium Ion Import -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Osteoclast Proliferation -> Biodomain: Cell Cycle, Immune System and Inflammation, Structural Stabilization, Signal Transduction, System and Developmental Process
GO Term: Gobp Nucleic Acid Phosphodiester Bond Hydrolysis -> Biodomain: RNA Metabolism, DNA Repair, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Dna Methylation Dependent Heterochromatin Formation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Dna Methylation Dependent Heterochromatin Formation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Protein Deacetylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Protein Deacetylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Protein Targeting To Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Brown Fat Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Signal Transduction, Mitochondrial Function and Metabolism
GO Term: Gobp Positive Regulation Of Brown Fat Cell Differentiation -> Biodomain: System and Developmental Process, Mitochondrial Function and Metabolism, Signal Transduction, Cell Cycle, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Heart Induction -> Biodomain: System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Replicative Senescence -> Biodomain: Cell Cycle, System and Developmental Process, Response to Stimulus, Epigenetic Regulation, DNA Repair
GO Term: Gobp Mesenchymal Cell Migration -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Rna Phosphodiester Bond Hydrolysis -> Biodomain: RNA Metabolism, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Rna Phosphodiester Bond Hydrolysis Exonucleolytic -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Epiboly -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Sphingolipid Mediated Signaling Pathway -> Biodomain: Signal Transduction, Lipid Metabolism, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction
GO Term: Gobp Actin Filament Reorganization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Sensory Organ Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Activation Of Gtpase Activity -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, System and Developmental Process
