Running with TEMP=0.0, sub_array_index=55
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 55: rows 2700 to 2749
GO Term: Gomf Enoyl Coa Hydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Guanylate Kinase Activity -> Biodomain: RNA Metabolism, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gomf Phosphatidylinositol 4 5 Bisphosphate 5 Phosphatase Activity -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus
GO Term: Gomf Inositol Polyphosphate 5 Phosphatase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Lactate Dehydrogenase Activity -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Nuclease Activity -> Biodomain: RNA Metabolism, DNA Repair, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Endonuclease Activity -> Biodomain: DNA Repair, RNA Metabolism, Response to Stimulus, Epigenetic Regulation, Signal Transduction
GO Term: Gomf Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Signal Transduction, Response to Stimulus
GO Term: Gomf Rna Endonuclease Activity -> Biodomain: RNA Metabolism, Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Exonuclease Activity -> Biodomain: DNA Repair, RNA Metabolism, Molecular Transport and Homeostasis, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Phosphodiesterase I Activity -> Biodomain: RNA Metabolism, DNA Repair, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Exoribonuclease Activity -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Poly A Specific Ribonuclease Activity -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Epigenetic Regulation, Signal Transduction, Response to Stimulus
