Running with TEMP=0.0, sub_array_index=56
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 56: rows 2750 to 2799
GO Term: Gomf Interleukin 6 Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Interleukin 12 Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gomf Interleukin 1 Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gomf Insulin Receptor Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Nerve Growth Factor Receptor Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus
GO Term: Gomf Neurotrophin Receptor Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Integrin Binding -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Hormone Activity -> Biodomain: Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gomf Calcium Channel Regulator Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Lipid Metabolism, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Nucleoside Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Immune System and Inflammation, Response to Stimulus
GO Term: Gomf Water Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process
GO Term: Gomf Copper Ion Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Zinc Ion Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf P Type Calcium Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Solute Inorganic Anion Antiporter Activity -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction
GO Term: Gomf Androgen Binding -> Biodomain: Signal Transduction, Steroid and Lipid Metabolism, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gomf Fatty Acid Binding -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Calcium Ion Binding -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Collagen Binding -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Insulin Like Growth Factor Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Tropomyosin Binding -> Biodomain: Structural Stabilization, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Mannose Binding -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Glycosaminoglycan Binding -> Biodomain: Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gomf Folic Acid Binding -> Biodomain: Nucleic Acid Metabolism, Molecular Transport and Homeostasis, Nutrient Metabolism, Metabolic Process, Protein Metabolism and Trafficking
GO Term: Gomf Phosphatidylinositol 4 5 Bisphosphate Binding -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Phosphatidylinositol 3 4 5 Trisphosphate Binding -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Chemokine Activity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf N Acetyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction
GO Term: Gomf Growth Factor Activity -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Cytoskeletal Anchor Activity -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Alcohol Dehydrogenase Nadpplus Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Ubiquinol Cytochrome C Reductase Activity -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
