Running with TEMP=0.0, sub_array_index=57
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 57: rows 2800 to 2849
GO Term: Gomf Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Cell Cycle, Epigenetic Regulation
GO Term: Gomf Acetylglucosaminyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Lipid Metabolism, Signal Transduction
GO Term: Gomf 3 5 Exonuclease Activity -> Biodomain: DNA Repair, RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gomf 5 3 Exonuclease Activity -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gomf Heparan Sulfate Glucosamine 3 Sulfotransferase 1 Activity -> Biodomain: Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gomf Sulfuric Ester Hydrolase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus, Signal Transduction
GO Term: Gomf Udp Galactose Beta N Acetylglucosamine Beta 1 3 Galactosyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gomf Monoamine Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gomf N Acetyllactosaminide Beta 1 3 N Acetylglucosaminyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Signal Transduction, System and Developmental Process, RNA Metabolism
GO Term: Gomf Camp Dependent Protein Kinase Regulator Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf S Adenosylmethionine Dependent Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction, Transcription and Translation Machinery
GO Term: Gomf Electron Transfer Activity -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Lipid Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gomf Photoreceptor Activity -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gomf Phosphatidylinositol 5 Phosphate Binding -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Double Stranded Methylated Dna Binding -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, DNA Repair, Response to Stimulus
GO Term: Gomf Histone H3 Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Histone H4 Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Cyclase Regulator Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gomf Cyclase Inhibitor Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Cyclase Activator Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Adenylate Cyclase Regulator Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gomf Adenylate Cyclase Activator Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Calcium Dependent Protein Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Glutathione Disulfide Oxidoreductase Activity -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gomf Proton Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gomf Magnesium Ion Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gomf Bicarbonate Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
