Running with TEMP=0.0, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Positive Regulation Of Rac Protein Signal Transduction -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Immune System and Inflammation, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Rho Protein Signal Transduction -> Biodomain: Signal Transduction, Response to Stimulus, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Rho Protein Signal Transduction -> Biodomain: Signal Transduction, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction, Immune System and Inflammation
GO Term: Gobp Embryonic Forelimb Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Mirna Processing -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Peptidyl Arginine N Methylation -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Mirna Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Hair Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Signal Transduction, Lipid Metabolism, Immune System and Inflammation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Cellular Response To Interferon Beta -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Vesicle Cargo Loading -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Dna Dealkylation -> Biodomain: DNA Repair, Epigenetic Regulation, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Protein K29 Linked Ubiquitination -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Chromatin Binding -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Protein Deglutamylation -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Side Chain Deglutamylation -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus, Structural Stabilization, System and Developmental Process
GO Term: Gobp Stress Granule Disassembly -> Biodomain: RNA Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Trif Dependent Toll Like Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp T Helper 1 Cell Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Platelet Derived Growth Factor Receptor Alpha Signaling Pathway -> Biodomain: Signal Transduction, Cell Cycle, Transcription and Translation Machinery, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Urine Volume -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Urine Volume -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Nail Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Cell Cycle, Response to Stimulus
GO Term: Gobp Ascending Aorta Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
