Running with TEMP=0.0, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 750 to 799
GO Term: Gobp Convergent Extension Involved In Gastrulation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Convergent Extension Involved In Organogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Auditory Receptor Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Positive Regulation Of Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Glial Cell Proliferation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Respiratory Burst -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Type Ii Interferon Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Heart Trabecula Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Ventricular Septum Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Bronchus Development -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Trachea Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gobp Lobar Bronchus Epithelium Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Skeletal Muscle Organ Development -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Intestinal Epithelial Cell Maturation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Epigenetic Regulation, Structural Stabilization
GO Term: Gobp Placenta Blood Vessel Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Branch Elongation Involved In Ureteric Bud Branching -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Cell Cycle
GO Term: Gobp Labyrinthine Layer Blood Vessel Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Intestinal Epithelial Structure Maintenance -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: System and Developmental Process, Cell Cycle, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Blood Vessel Endothelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Arterial Endothelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization
GO Term: Gobp Establishment Of Blood Brain Barrier -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gobp Positive Regulation Of Macrophage Cytokine Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Cell Migration Involved In Heart Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Common Bile Duct Development -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Membrane Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Protein Metabolism and Trafficking, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Vascular Wound Healing -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Chaperone Mediated Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gobp Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Fungiform Papilla Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Establishment Or Maintenance Of Bipolar Cell Polarity -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Cardiac Neural Crest Cell Development Involved In Outflow Tract Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Notch Signaling Involved In Heart Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Establishment Or Maintenance Of Monopolar Cell Polarity -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Triglyceride Lipase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Heart Trabecula Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Macrophage Proliferation -> Biodomain: Immune System and Inflammation, Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Microglial Cell Proliferation -> Biodomain: Gliogenesis and Glial Differentiation, Immune System and Inflammation, Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Glycolytic Process Through Fructose 6 Phosphate -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Chaperone Mediated Autophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Antifungal Innate Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Autophagy, Cell Adhesion and Interaction
