Running with TEMP=0.0, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 49
GO Term: Gobp Transition Metal Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, DNA Repair
GO Term: Gobp Mapk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Retrograde Transport Vesicle Recycling Within Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Protein Peptidyl Prolyl Isomerization -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Pexophagy -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Maturation Of Ssu Rrna From Tricistronic Rrna Transcript Ssu Rrna 5 8S Rrna Lsu Rrna -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Resolution Of Meiotic Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, System and Developmental Process, Structural Stabilization
GO Term: Gobp Recombinational Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Double Strand Break Repair Via Break Induced Replication -> Biodomain: DNA Repair, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
