Running with TEMP=0.0, sub_array_index=29
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 29: rows 1400 to 1449
GO Term: Gomf Oxidoreductase Activity Acting On The Ch Nh2 Group Of Donors -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gomf Oxidoreductase Activity Acting On A Sulfur Group Of Donors Disulfide As Acceptor -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf Oxidoreductase Activity Acting On A Heme Group Of Donors -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gomf Transketolase Or Transaldolase Activity -> Biodomain: Molecular Transport and Homeostasis, RNA Metabolism, Lipid Metabolism, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gomf Sulfurtransferase Activity -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction
GO Term: Gomf Carbon Sulfur Lyase Activity -> Biodomain: Protein Metabolism and Trafficking, Amino Acid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Cis Trans Isomerase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gomf Intramolecular Oxidoreductase Activity -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Intramolecular Transferase Activity -> Biodomain: Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Intramolecular Transferase Activity Phosphotransferases -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Acid Thiol Ligase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Mitochondrial Function and Metabolism
GO Term: Gomf Endodeoxyribonuclease Activity Producing 5 Phosphomonoesters -> Biodomain: DNA Repair, Catalytic Activity, Molecular Function, Nucleic Acid Metabolism, Response to DNA Damage
GO Term: Gomf Dna Endonuclease Activity Producing 3 Phosphomonoesters -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gomf Endonuclease Activity Active With Either Ribo Or Deoxyribonucleic Acids And Producing 3 Phosphomonoesters -> Biodomain: DNA Repair, RNA Metabolism, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gomf Tbp Class Protein Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Structural Constituent Of Nuclear Pore -> Biodomain: Structural Stabilization, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gomf Single Stranded Dna Helicase Activity -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gomf Wnt Protein Binding -> Biodomain: Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction, Transcription and Translation Machinery, Protein Metabolism and Trafficking
GO Term: Gomf Dead H Box Rna Helicase Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Alkane 1 Monooxygenase Activity -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Gdp Binding -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Pyrimidine Nucleotide Binding -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gomf Kinase Inhibitor Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Cell Cycle, Apoptosis
GO Term: Gomf Rrna Binding -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gomf Potassium Channel Inhibitor Activity -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gomf Macromolecule Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gomf Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Manganese Ion Binding -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Lrr Domain Binding -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus
GO Term: Gomf Protein Serine Threonine Kinase Inhibitor Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Cell Cycle, Apoptosis
GO Term: Gomf Interleukin 17 Receptor Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gomf Snorna Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gomf Hsp70 Protein Binding -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Response to Stimulus, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Cgmp Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, RNA Metabolism, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Beta 2 Microglobulin Binding -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Mismatched Dna Binding -> Biodomain: DNA Repair, Epigenetic Regulation, Cell Cycle, Response to Stimulus, Signal Transduction
GO Term: Gomf Heat Shock Protein Binding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gomf Protein Tag -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Mitogen Activated Protein Kinase Kinase Kinase Binding -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gomf Peptidyl Proline Dioxygenase Activity -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Peptidyl Proline 4 Dioxygenase Activity -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Epigenetic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gomf Clathrin Heavy Chain Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Clathrin Light Chain Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization
GO Term: Gomf Oxidized Dna Binding -> Biodomain: DNA Repair, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gomf Mismatch Repair Complex Binding -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gomf Mutlalpha Complex Binding -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gomf Mutsalpha Complex Binding -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Epigenetic Regulation
GO Term: Gomf Sterol Binding -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Membrane Insertase Activity -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gomf Amide Binding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Lipid Metabolism, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_29.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
