Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Spermidine Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Autophagy, Molecular Transport and Homeostasis
GO Term: Gobp Isoprenoid Catabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Response to Stimulus, Structural Stabilization, Signal Transduction
GO Term: Gobp Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process
GO Term: Gobp Macromolecule Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, DNA Repair, Lipid Metabolism, Autophagy
GO Term: Gobp Glutamine Family Amino Acid Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Nucleoside Diphosphate Biosynthetic Process -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Purine Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Pyrimidine Nucleoside Diphosphate Biosynthetic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp 10 Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, DNA Repair
GO Term: Gobp Response To Temperature Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Cellular Response To Starvation -> Biodomain: Autophagy, Lipid Metabolism, Mitochondrial Function and Metabolism, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Mrna Transcription -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Epigenetic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Heat -> Biodomain: Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Carnitine Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Detection Of Biotic Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Response To Symbiont -> Biodomain: Response to Stimulus, Immune System and Inflammation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Response To Virus -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Photoperiodism -> Biodomain: Response to Stimulus, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Response To Salt Stress -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Response To Fructose -> Biodomain: Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Hormone Mediated Signaling Pathway -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Response to Stimulus, Molecular Transport and Homeostasis, Lipid Metabolism
GO Term: Gobp Epidermal Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Anterior Posterior Axis Specification -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Negative Regulation Of Gene Expression Via Chromosomal Dna Cytosine Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Endomembrane System Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Membrane Invagination -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Response To Acidic Ph -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Gastrulation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Autophagy -> Biodomain: Autophagy, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Phosphorus Metabolic Process -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Gene Expression -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, RNA Metabolism, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cell Communication -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Signal Transduction, System and Developmental Process, Response to Stimulus, Cell Cycle
GO Term: Gobp Positive Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Signal Transduction, System and Developmental Process, Cell Cycle, Response to Stimulus
GO Term: Gobp Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Sodium Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Positive Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Glucose Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Retina Layer Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Gliogenesis and Glial Differentiation, Cell Adhesion and Interaction, Structural Stabilization
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
