Running with TEMP=0.0, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Positive Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Sequestering Of Triglyceride -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Smad Protein Complex Assembly -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Smad Protein Complex Assembly -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Translational Initiation By Eif2 Alpha Phosphorylation -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, RNA Metabolism
GO Term: Gobp Oligodendrocyte Development -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Structural Stabilization
GO Term: Gobp Glial Cell Proliferation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, Cell Cycle, System and Developmental Process, Response to Stimulus
GO Term: Gobp Neural Crest Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Neural Crest Cell Fate Commitment -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Schwann Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Schwann Cell Development -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Gamma Aminobutyric Acid Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
