Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Wybutosine Metabolic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Killing Of Cells Of Another Organism -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Apoptosis
GO Term: Gobp Regulation Of Protein Stability -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Protein Destabilization -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Lipopolysaccharide Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Lipopolysaccharide Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Lipopolysaccharide Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Protein Autophosphorylation -> Biodomain: Signal Transduction, Epigenetic Regulation, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Positive Regulation Of Tor Signaling -> Biodomain: Signal Transduction, Autophagy, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Cell Cycle
GO Term: Gobp Isg15 Protein Conjugation -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Nuclease Activity -> Biodomain: DNA Repair, RNA Metabolism, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Nf Kappab Transcription Factor Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Response To External Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Epigenetic Regulation, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Response To Extracellular Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Transposition -> Biodomain: DNA Repair, Transcription and Translation Machinery, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Telomere Maintenance Via Semi Conservative Replication -> Biodomain: DNA Repair, Cell Cycle, Molecular Transport and Homeostasis, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Synaptic Transmission Gabaergic -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Secretory Granule Localization -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Dense Core Granule Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Positive Regulation Of Gonadotropin Secretion -> Biodomain: Endocrine System and Hormone Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Intracellular Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Intracellular Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Response to Stimulus, Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Proteasomal Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Proteasomal Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Proteasomal Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Type I Interferon Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Maintenance Of Protein Location In Cell -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Autophagy, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Protein Exit From Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Protein Transport Within Lipid Bilayer -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Type I Interferon Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Interferon Alpha Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Interferon Beta Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Interleukin 23 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Interleukin 6 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Autophagy, System and Developmental Process
GO Term: Gobp Negative Regulation Of Interferon Beta Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Interleukin 6 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Interleukin 1 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Autophagy, Epigenetic Regulation
